radius,step,vel,ax,ay,time_step,rpm_left,rpm_right,torque_left,torque_right,power_left,power_right,total_energy,steer,throttle
-9.025270758,0.5804,10.77818543,0.53,-1.312085255,0.05384951,2203.662257,2260.779876,74.72465552,36.82778414,17243.98248,8718.915842,0.000388358,-18.70707543,0.812044575
-12.45330012,0.6017,11.10988631,0.615,-1.01033586,0.05415897,2270.78871,2331.262457,72.80951219,45.25559671,17313.84263,11048.21414,0.000426683,-14.98743265,0.808827019
-25.38071066,0.6305,11.50912565,0.73,-0.5320003,0.054782615,2351.255487,2416.163341,69.15912679,56.12112356,17028.56068,14199.76856,0.000475214,-9.606747041,0.831226907
-256.4102564,0.6631,12.00481737,0.895899086,-0.05729368,0.055236159,2436.244699,2436.244699,66.24202643,66.24202643,16899.86108,16899.86108,0.000518602,0,0.707620706
39.84063745,0.6941,12.5010627,0.89298814,0.399851363,0.05552328,2536.453319,2536.453319,66.24202643,66.24202643,17594.99313,17594.99313,0.00054274,0,0.707620706
20.92050209,0.7245,12.90116553,0.715,0.8109924,0.056157717,2633.28952,2710.910537,68.36160594,54.32210818,18851.22101,15421.2799,0.000534629,15.44782831,0.782476218
14.74926254,0.7558,13.2722618,0.655,1.217448408,0.056945833,2709.062788,2789.016137,69.52065125,48.41825619,19722.47983,14141.2822,0.000535667,20.82236466,0.738439993
13.35113485,0.7866,13.63645653,0.635,1.41976307,0.057683607,2783.192416,2865.815302,69.68748611,46.34965231,20310.78217,13909.8772,0.000548325,22.91896306,0.719769653
13.49527665,0.8176,14.00783304,0.64,1.482146436,0.058367343,2858.443253,2944.452558,69.17455694,46.69730386,20706.39903,14398.75645,0.000569165,24.09339625,0.707475483
15.01501502,0.851,14.40160136,0.67,1.408078258,0.059090651,2937.807098,3028.204485,68.01008036,49.44876389,20923.0591,15680.83756,0.000600819,24.24826833,0.705045573
17.27115717,0.8865,14.81827631,0.7,1.295999798,0.059824772,3021.821257,3116.749584,66.96001676,52.2260199,21189.12113,17045.80273,0.000635388,23.56705379,0.712058966
21.55172414,0.9251,15.26177914,0.735,1.101689732,0.060615476,3111.680084,3210.320704,66.27574634,55.89226714,21596.24199,18790.08582,0.00068001,19.19576345,0.752100072
29.15451895,0.9649,15.7290933,0.765,0.86503263,0.061344922,3206.868332,3308.311194,66.05919588,59.16459044,22184.16209,20497.30837,0.000727303,13.51794107,0.806013148
39.21568627,1.0062,16.26419925,0.867192278,0.687601072,0.061865942,3297.209943,3297.209943,66.24202643,66.24202643,22872.24679,22872.24679,0.000786118,0,0.707620706
53.76344086,1.0512,16.80242365,0.862916691,0.535288358,0.062562403,3406.140172,3406.140172,66.24202643,66.24202643,23627.87932,23627.87932,0.000821232,0,0.707620706
71.94244604,1.0984,17.34422186,0.85847191,0.426241208,0.063329448,3515.855394,3515.855394,66.24202643,66.24202643,24388.95722,24388.95722,0.000858077,0,0.707620706
92.59259259,1.1483,17.89019294,0.853851477,0.352358536,0.064186004,3626.484705,3626.484705,66.24202643,66.24202643,25156.37603,25156.37603,0.000897048,0,0.707620706
116.2790698,1.1992,18.44005539,0.849047137,0.298094447,0.065032343,3737.979087,3737.979087,66.24202643,66.24202643,25929.79569,25929.79569,0.00093682,0,0.707620706
142.8571429,1.2499,18.99301216,0.844058068,0.25740485,0.065808414,3850.115158,3850.115158,66.24202643,66.24202643,26707.66666,26707.66666,0.000976438,0,0.707620706
188.6792453,1.3016,19.54885006,0.838888626,0.206466356,0.066581922,3963.06647,3963.06647,66.24202643,66.24202643,27491.19283,27491.19283,0.001016898,0,0.707620706
270.2702703,1.344,20.10316751,0.833538328,0.152426929,0.066855136,4075.888338,4075.888338,66.24202643,66.24202643,28273.82107,28273.82107,0.001050139,0,0.707620706
1111.111111,1.3642,20.64704761,0.828048978,0.039110145,0.066072401,4186.78475,4186.78475,66.24202643,66.24202643,29043.09271,29043.09271,0.001066082,0,0.707620706
-555.5555556,1.3818,21.18017182,0.822513819,-0.082311868,0.065240264,4295.855617,4295.855617,66.24202643,66.24202643,29799.70083,29799.70083,0.001080078,0,0.707620706
-227.2727273,1.3859,21.69823759,0.816944726,-0.21117018,0.063871547,4402.172524,4402.172524,66.24202643,66.24202643,30537.20513,30537.20513,0.001083588,0,0.707620706
-196.0784314,1.381,22.19906514,0.811396928,-0.256194935,0.062209827,4505.722252,4505.722252,66.24202643,66.24202643,31255.51394,31255.51394,0.001080222,0,0.707620706
-238.0952381,1.3666,22.68054254,0.805906286,-0.220235417,0.060254291,4606.12081,4606.12081,66.24202643,66.24202643,31951.96355,31951.96355,0.001069579,0,0.707620706
-384.6153846,1.3496,23.14311619,0.800509663,-0.141954123,0.058315397,4703.848529,4703.848529,66.24202643,66.24202643,32629.88596,32629.88596,0.001057125,0,0.707620706
555.5555556,1.3431,23.59150387,0.795215861,0.102120927,0.056931513,4800.642375,4800.642375,66.24202643,66.24202643,33301.33024,33301.33024,0.001053275,0,0.707620706
172.4137931,1.3275,24.02362547,0.789982394,0.341221261,0.055258104,4898.561792,4898.561792,66.24202643,66.24202643,33980.58242,33980.58242,0.001043168,0,0.707620706
109.8901099,1.3132,24.42019277,0.745633463,0.553185211,0.053775169,5191.704135,5191.704135,63.87665198,63.87665198,34728.07397,34728.07397,0.001037504,0,0.682352941
95.23809524,1.2968,24.77559163,0.687182219,0.657004524,0.052341838,5266.664726,5266.664726,63.87665198,63.87665198,35229.49641,35229.49641,0.001024431,0,0.682352941
97.08737864,1.2779,25.09415057,0.633623176,0.661170117,0.050924218,5333.823437,5333.823437,63.87665198,63.87665198,35678.73093,35678.73093,0.001009395,0,0.682352941
104.1666667,1.2577,25.3800471,0.584793098,0.630357716,0.049554676,5394.073647,5394.073647,61.67400881,61.67400881,34837.55507,34837.55507,0.000959091,0,0.658823529
147.0588235,1.2346,25.63663249,0.540404347,0.455577074,0.048157651,5448.131143,5448.131143,61.67400881,61.67400881,35186.6847,35186.6847,0.000941393,0,0.658823529
270.2702703,1.2095,25.86709223,0.500182901,0.252364312,0.046758251,5496.674536,5496.674536,61.67400881,61.67400881,35500.20159,35500.20159,0.000922182,0,0.658823529
666.6666667,1.1832,26.07438001,0.46380005,0.103956161,0.045377877,5540.33107,5540.33107,59.47136564,59.47136564,34504.22258,34504.22258,0.000869849,0,0.635294118
1000,1.1568,26.26125124,0.43090609,0.070301052,0.044049691,5579.684536,5579.684536,59.47136564,59.47136564,34749.30915,34749.30915,0.000850387,0,0.635294118
370.3703704,1.1311,25.80785847,-1.560366418,0.183315291,0.043827736,0,0,0,0,0,0,0,0,0
196.0784314,1.1055,25.12802466,-1.701330261,0.328259926,0.043994704,0,0,0,0,0,0,0,0,0
123.4567901,1.0799,24.3826972,-1.77748384,0.490884707,0.044289604,0,0,0,0,0,0,0,0,0
79.36507937,1.0541,23.59778038,-1.794150072,0.715226912,0.044669455,0,0,0,0,0,0,0,0,0
61.34969325,1.0272,22.79801807,-1.805622336,0.8636003,0.045056548,0,0,0,0,0,0,0,0,0
52.35602094,0.9975,21.98544342,-1.812275252,0.94109793,0.045370929,0,0,0,0,0,0,0,0,0
49.26108374,0.965,21.16345373,-1.814582828,0.926830072,0.045597473,0,0,0,0,0,0,0,0,0
46.2962963,0.9308,20.33557801,-1.813157044,0.910537393,0.045771996,0,0,0,0,0,0,0,0,0
44.64285714,0.8948,19.50444365,-1.808524776,0.868652642,0.045876725,0,0,0,0,0,0,0,0,0
40.81632653,0.8581,18.67278513,-1.801197725,0.870793697,0.04595458,0,0,0,0,0,0,0,0,0
31.15264798,0.8222,17.84231152,-1.675,1.041689437,0.046081473,3337.645873,3293.843984,3.05E-08,3.13E-08,1.07E-05,1.08E-05,2.75E-13,3.29343432,-0.975236718
22.67573696,0.7887,17.06832477,-1.375,1.309638332,0.046208401,3272.431045,3149.783518,-1.60E-06,-1.66E-06,-0.000548666,-0.000548864,1.41E-11,3.163565499,-0.757015487
18.05054152,0.7562,16.43321503,-0.94,1.525056149,0.046016558,3193.642128,3058.807546,-0.000601003,-0.000632154,-0.200997967,-0.202489886,5.16E-09,3.892488308,-0.440437367
15.625,0.723,16.00325314,-0.73,1.670811733,0.045178314,3125.797693,3036.601073,0.008332142,0.008880053,2.727383167,2.823787003,6.97E-08,4.488520111,-0.294951079
14.57725948,0.6901,15.6763794,-0.655,1.718488538,0.044021644,3066.970166,3000.784467,0.01961127,0.020553623,6.298598038,6.458799432,1.56E-07,4.990625215,-0.245278232
14.4092219,0.6589,15.39091703,-0.685,1.675789469,0.042810964,3008.870984,2931.665238,0.015485508,0.016408288,4.879301266,5.037398127,1.18E-07,4.887795767,-0.264699291
16.86340641,0.63,15.10049366,-1.26,1.378376869,0.04172049,2901.712467,2787.671796,6.02E-06,6.62E-06,0.001830384,0.00193109,4.36E-11,3.855700121,-0.686527851
28.73563218,0.6015,14.57568361,-1.66,0.753647221,0.041267361,2701.143815,2690.794755,2.11E-08,2.24E-08,5.96E-06,6.31E-06,1.41E-13,4.030351628,-0.990927137
1111.111111,0.5732,13.88741081,-1.726451816,0.017693594,0.041274793,0,0,0,0,0,0,0,0,0
-33.89830508,0.549,13.16982096,-1.655,-0.521570176,0.041686216,2436.387584,2431.028866,2.18E-08,2.39E-08,5.56E-06,6.08E-06,1.35E-13,-3.577844475,-0.994457478
-18.14882033,0.5337,12.47467636,-1.595,-0.874059839,0.042782673,2313.976683,2302.774059,4.20E-08,4.62E-08,1.02E-05,1.11E-05,2.53E-13,-5.4962308,-0.982115249
-12.09189843,0.5248,11.78626301,-1.54,-1.171085917,0.044526412,2191.46843,2175.740544,-1.35E-08,-1.75E-08,-3.10E-06,-3.98E-06,8.76E-14,-6.543715146,-0.964677448
-8.896797153,0.5157,11.09320823,-1.185,-1.409975719,0.046487904,2130.455607,2047.865824,2.14E-05,2.27E-05,0.004773836,0.004876478,1.25E-10,-22.69852412,-0.650722904
-7.347538575,0.5104,10.53894674,-0.795,-1.540932225,0.048429887,2050.756884,1948.925495,0.000226688,0.000676669,0.048682296,0.13810204,2.51E-09,-28.02351896,-0.35910045
-6.389776358,0.5104,10.15422229,-0.65,-1.644896844,0.050264805,1983.62458,1907.923841,0.020637237,0.019910085,4.286863527,3.977981556,1.15E-07,-35.9761517,-0.259912496
-5.518763797,0.5128,9.828484068,-0.545,-1.784276937,0.052174882,1924.873698,1881.858566,-0.012271579,-0.023001647,-2.473610433,-4.532883179,1.02E-07,-44.4900748,-0.190480083
-4.798464491,0.5126,9.545458604,-0.33,-1.935629821,0.05370093,1878.462738,1870.199119,-0.071608887,0.089067803,-14.08633874,17.44364357,4.70E-07,-56.31737661,-0.04449792
-4.557885141,0.5119,9.37,0,-1.963571851,0.054631804,0,0,0,0,0,0,0,0,0
-4.782400765,0.5209,9.499984943,0.24,-1.923671272,0.054831666,1940.96352,1990.907301,59.84045394,18.25817614,12163.00458,3806.598303,0.000243233,-49.84652646,0.645269993
-5.15995872,0.5308,9.663022442,0.3,-1.844636262,0.054931053,1978.695724,2025.219643,66.17740688,19.94970176,13712.52331,4230.942825,0.000273793,-41.82390301,0.711098347
-5.800464037,0.536,9.862304047,0.37,-1.709326513,0.054348355,2018.320483,2067.306823,71.67355064,23.31884771,15148.78023,5048.247538,0.00030491,-32.84720997,0.771049778
-7.168458781,0.565,10.12026213,0.465,-1.456427007,0.055828593,2069.990444,2121.905411,75.17986898,30.59441809,16296.65693,6798.24537,0.000358154,-22.92841262,0.81748158
-10.86956522,0.5836,10.44596053,0.585,-1.023329705,0.055868486,2136.113896,2190.810707,74.19299736,42.41839662,16596.4782,9731.67779,0.000408587,-14.6312802,0.829407251
-19.41747573,0.6059,10.83146548,0.69,-0.615903485,0.055938876,2214.060449,2272.604101,70.91940365,52.69338991,16443.07989,12540.31781,0.000450361,-9.81696024,0.834180341
-54.64480874,0.6277,11.33140021,0.89968006,-0.239524112,0.055394743,2300.240409,2300.240409,66.24202643,66.24202643,15956.41989,15956.41989,0.000491057,0,0.707620706
76.92307692,0.6531,11.82765881,0.896912887,0.18538386,0.055218028,2400.461591,2400.461591,66.24202643,66.24202643,16651.63907,16651.63907,0.000510817,0,0.707620706
23.25581395,0.6867,12.23362076,0.725,0.656008513,0.056132196,2498.021352,2569.580456,68.69371059,55.45993535,17969.7378,14923.48308,0.00051288,12.34715491,0.808544739
15.84786054,0.6983,12.6032103,0.67,1.021698411,0.055406518,2573.260263,2647.562623,69.78307483,50.12388475,18804.52784,13896.95279,0.000503299,17.55958356,0.767373573
14.22475107,0.7121,12.95848452,0.65,1.203357714,0.054952414,2645.497408,2722.56658,69.97252863,48.04954869,19384.8983,13699.23892,0.000505015,19.89722042,0.748120872
13.94700139,0.7282,13.30930574,0.645,1.294675566,0.054713598,2716.702086,2796.737685,69.75203145,47.43483934,19843.92124,13892.41622,0.000512732,21.38952595,0.734092202
15.43209877,0.7343,13.6671243,0.67,1.233844094,0.053727469,2788.923301,2872.747352,68.73418526,49.72448856,20074.18757,14958.78692,0.000522843,21.51655681,0.730500819
16.89189189,0.7333,14.02560356,0.69,1.187123269,0.052282955,2861.326419,2948.832461,67.90526754,51.53239167,20346.95794,15913.25476,0.000526609,21.52617422,0.729741237
16.50165017,0.7292,14.37321533,0.69,1.276178668,0.050733255,2931.767103,3022.425065,67.57724503,51.40604252,20747.15579,16270.40379,0.000521673,22.80046497,0.718375335
14.99250375,0.7228,14.70002769,0.67,1.469241315,0.049169975,2998.300266,3091.368473,67.71586836,49.33673384,21261.51433,15971.65008,0.000508543,25.35819356,0.69470282
14.00560224,0.7234,15.01290444,0.655,1.640433559,0.048185213,3062.010336,3157.328837,67.77635742,47.78688638,21732.69048,15800.00297,0.000502367,27.13963279,0.677144479
